id,jozz,sura_no,page,line_start,line_end,aya_no,aya_text,aya_text_emlaey,type
1,1,1,1,2,2,1,,بسم الله الرحمن الرحيم,J
1,1,1,1,2,2,1,,,S
8,1,2,2,3,3,1,,,S
149,2,2,22,1,3,142,,سيقول السفهاء من الناس,J
260,3,2,42,1,6,253,,تلك الرسل فضلنا بعضهم على بعض,J
294,3,3,50,3,3,1,,,S
385,4,3,62,1,2,92,,لن تنالوا البر حتى تنفقوا مما تحبون,J
494,4,4,77,3,5,1,,,S
517,5,4,82,1,6,24,,والمحصنات من النساء,J
641,6,4,102,1,2,148,,لا يحب الله الجهر بالسوء,J
670,6,5,106,8,10,1,,,S
751,7,5,121,9,13,82,,لتجدن أشد الناس عداوة,J
790,7,6,128,3,4,1,,,S
900,8,6,142,1,3,111,,ولو أننا نزلنا إليهم الملائكة,J
955,8,7,151,3,3,1,,,S
1042,9,7,162,1,3,88,,قال الملأ الذين استكبروا,J
1161,9,8,177,3,5,1,,,S
1201,10,8,182,1,4,41,,واعلموا أنما غنمتم,J
1236,10,9,187,2,2,1,,,S
1329,11,9,202,1,4,94,,يعتذرون إليكم,J
1365,11,10,208,3,3,1,,,S
1474,11,11,221,9,9,1,,,S
1479,12,11,222,1,2,6,,وما من دابة,J
1597,12,12,235,11,11,1,,,S
1649,13,12,242,1,2,53,,وما أبرئ نفسي,J
1708,13,13,249,3,4,1,,,S
1751,13,14,255,5,6,1,,,S
1803,14,15,262,3,3,1,,الر تلك آيات الكتاب وقرآن مبين,J
1803,14,15,262,3,3,1,,,S
1902,14,16,267,9,9,1,,,S
2030,15,17,282,3,5,1,,سبحان الذي أسرى,J
2030,15,17,282,3,5,1,,,S
2141,15,18,293,12,12,1,,,S
2215,16,18,302,1,1,75,,قال ألم أقل لك إنك لن تستطيع معي صبرا,J
2251,16,19,305,3,3,1,,,S
2349,16,20,312,7,7,1,,,S
2484,17,21,322,3,3,1,,اقترب للناس حسابهم,J
2484,17,21,322,3,3,1,,,S
2596,17,22,332,3,3,1,,,S
2674,18,23,342,3,3,1,,قد أفلح المؤمنون,J
2674,18,23,342,3,3,1,,,S
2792,18,24,350,3,3,1,,,S
2856,18,25,359,13,13,1,,,S
2876,19,25,362,1,2,21,,وقال الذين لا يرجون لقاءنا,J
2933,19,26,367,3,3,1,,,S
3160,19,27,377,3,3,1,,,S
3215,20,27,382,1,2,56,,فما كان جواب قومه,J
3253,20,28,385,10,10,1,,,S
3341,20,29,396,10,10,1,,,S
3386,21,29,402,1,3,46,,ولا تجادلوا أهل الكتاب إلا بالتي هي أحسن,J
3410,21,30,404,12,12,1,,,S
3470,21,31,411,3,3,1,,,S
3504,21,32,415,3,3,1,,,S
3534,21,33,418,3,4,1,,,S
3564,22,33,422,1,2,31,,ومن يقنت,J
3607,22,34,428,3,4,1,,,S
3661,22,35,434,10,12,1,,,S
3706,22,36,440,6,6,1,,,S
3733,23,36,442,1,2,28,,وما أنزلنا على قومه,J
3789,23,37,446,3,3,1,,,S
3971,23,38,453,3,3,1,,,S
4059,23,39,458,6,6,1,,,S
4090,24,39,462,1,2,32,,فمن أظلم ممن كذب على الله,J
4134,24,40,467,5,5,1,,,S
4219,24,41,477,3,3,1,,,S
4265,25,41,482,1,3,47,,إليه يرد علم الساعة,J
4273,25,42,483,3,3,1,,,S
4326,25,43,489,7,7,1,,,S
4415,25,44,496,3,3,1,,,S
4474,25,45,499,3,3,1,,,S
4511,26,46,502,9,9,1,,حم,J
4511,26,46,502,9,9,1,,,S
4546,26,47,507,3,3,1,,,S
4584,26,48,511,3,3,1,,,S
4613,26,49,515,9,10,1,,,S
4631,26,50,518,3,3,1,,,S
4676,26,51,520,14,14,1,,,S
4706,27,51,522,1,1,31,,قال فما خطبكم,J
4736,27,52,523,10,10,1,,,S
4785,27,53,526,3,3,1,,,S
4847,27,54,528,12,12,1,,,S
4902,27,55,531,7,7,1,,,S
4980,27,56,534,9,9,1,,,S
5076,27,57,537,13,13,1,,,S
5105,28,58,542,3,4,1,,قد سمع,J
5105,28,58,542,3,4,1,,,S
5127,28,59,545,9,10,1,,,S
5151,28,60,549,3,7,1,,,S
5164,28,61,551,9,9,1,,,S
5178,28,62,553,3,4,1,,,S
5189,28,63,554,9,10,1,,,S
5200,28,64,556,3,4,1,,,S
5218,28,65,558,3,6,1,,,S
5230,28,66,560,3,4,1,,,S
5242,29,67,562,3,3,1,,تبارك,J
5242,29,67,562,3,3,1,,,S
5272,29,68,564,8,8,1,,,S
5324,29,69,566,12,12,1,,,S
5376,29,70,568,11,11,1,,,S
5420,29,71,570,7,8,1,,,S
5448,29,72,572,3,4,1,,,S
5476,29,73,574,3,3,1,,,S
5496,29,74,575,10,10,1,,,S
5552,29,75,577,8,8,1,,,S
5592,29,76,578,12,12,1,,,S
5623,29,77,580,9,9,1,,,S
5673,30,78,582,3,3,1,,عم يتساءلون,J
5673,30,78,582,3,3,1,,,S
5713,30,79,583,10,10,1,,,S
5759,30,80,585,3,3,1,,,S
5801,30,81,586,4,4,1,,,S
5830,30,82,587,3,3,1,,,S
5849,30,83,587,14,14,1,,,S
5885,30,84,589,5,5,1,,,S
5910,30,85,590,4,4,1,,,S
5932,30,86,591,3,3,1,,,S
5949,30,87,591,12,12,1,,,S
5968,30,88,592,7,7,1,,,S
5994,30,89,593,5,5,1,,,S
6024,30,90,594,8,8,1,,,S
6044,30,91,595,4,4,1,,,S
6059,30,92,595,13,13,1,,,S
6080,30,93,596,8,8,1,,,S
6091,30,94,596,15,15,1,,,S
6099,30,95,597,5,5,1,,,S
6107,30,96,597,11,11,1,,,S
6126,30,97,598,6,6,1,,,S
6131,30,98,598,11,12,1,,,S
6139,30,99,599,8,8,1,,,S
6147,30,100,599,14,14,1,,,S
6158,30,101,600,6,6,1,,,S
6169,30,102,600,13,13,1,,,S
6177,30,103,601,3,3,1,,,S
6180,30,104,601,7,7,1,,,S
6189,30,105,601,13,13,1,,,S
6194,30,106,602,3,3,1,,,S
6198,30,107,602,8,8,1,,,S
6205,30,108,602,14,14,1,,,S
6208,30,109,603,3,3,1,,,S
6214,30,110,603,8,8,1,,,S
6217,30,111,603,13,13,1,,,S
6222,30,112,604,3,3,1,,,S
6226,30,113,604,7,7,1,,,S
6231,30,114,604,12,12,1,,,S
